director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,genres_str
Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]",sly cooper,Chris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation Adventure Comedy Action Family,Animation Adventure Comedy Action Family
James Ponsoldt,Emma Watson,Tom Hanks,John Boyega,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",the circle,Emma Watson Tom Hanks John Boyega James Ponsoldt Drama Thriller Science Fiction,Drama Thriller Science Fiction
Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,"[{'id': 35, 'name': 'Comedy'}]",pitch perfect 3,Anna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy,Comedy
Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,"[{'id': 27, 'name': 'Horror'}]",the devil's candy,Ethan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror,Horror
Roberto Doveris,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,"[{'id': 18, 'name': 'Drama'}]",las plantas,Violeta Castillo Ingrid Isensee Mauricio Vaca Roberto Doveris Drama,Drama
Lloyd Kaufman,Asta Paredes,Catherine Corcoran,Zac Amino,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","return to return to nuke 'em high, aka volume 2",Asta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy Horror,Comedy Horror
David Jackson,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}]",the cheerleader murders,Amanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie Thriller,TV Movie Thriller
Demetri Martin,Demetri Martin,Gillian Jacobs,Christine Woods,"[{'id': 35, 'name': 'Comedy'}]",dean,Demetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy,Comedy
Alexandre Bustillo Julien Maury,Stephen Dorff,Lili Taylor,Sam Strike,"[{'id': 27, 'name': 'Horror'}]",leatherface,Stephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Julien Maury Horror,Horror
Johannes Roberts,Claire Holt,Mandy Moore,Chris Johnson,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 12, 'name': 'Adventure'}]",47 meters down,Claire Holt Mandy Moore Chris Johnson Johannes Roberts Drama Thriller Horror Adventure,Drama Thriller Horror Adventure
Gabe Klinger,Lucie Lucas,Anton Yelchin,Paulo Calatré,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",porto,Lucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance Drama,Romance Drama
Aaron Leong,Sean O'Donnell,Alexandria DeBerry,Gary Busey,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",mamaboy,Sean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy Drama Family Fantasy Romance Science Fiction,Comedy Drama Family Fantasy Romance Science Fiction
Terry George,Oscar Isaac,Charlotte Le Bon,Christian Bale,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",the promise,Oscar Isaac Charlotte Le Bon Christian Bale Terry George History Romance Drama,History Romance Drama
Benny Boom,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",all eyez on me,Demetrius Shipp Jr. Danai Gurira Kat Graham Benny Boom Drama Music,Drama Music
Nacho Vigalondo,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",colossal,Anne Hathaway Jason Sudeikis Tim Blake Nelson Nacho Vigalondo Action Comedy Drama Fantasy Science Fiction,Action Comedy Drama Fantasy Science Fiction
Derrick Borte,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",london town,Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Derrick Borte Drama Music,Drama Music
Martin Koolhoven,Guy Pearce,Dakota Fanning,Carice van Houten,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 37, 'name': 'Western'}]",brimstone,Guy Pearce Dakota Fanning Carice van Houten Martin Koolhoven Mystery Thriller Western,Mystery Thriller Western
Alex Helfrecht Jörg Tittel,Agyness Deyn,Jonathan Pryce,Fiona Shaw,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",the white king,Agyness Deyn Jonathan Pryce Fiona Shaw Alex Helfrecht Jörg Tittel Drama Science Fiction,Drama Science Fiction
Laura Poitras,Julian Assange,Sarah Harrison,Jacob Appelbaum,"[{'id': 99, 'name': 'Documentary'}]",risk,Julian Assange Sarah Harrison Jacob Appelbaum Laura Poitras Documentary,Documentary
Eddie O'Keefe,Emily Browning,Luke Grimes,Ron Livingston,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",shangri-la suite,Emily Browning Luke Grimes Ron Livingston Eddie O'Keefe Romance Drama Crime,Romance Drama Crime
Ralitza Petrova,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,"[{'id': 18, 'name': 'Drama'}]",godless,Irena Ivanova Ivan Nalbantov Ventzislav Konstantinov Ralitza Petrova Drama,Drama
Peter Chelsom,Asa Butterfield,Britt Robertson,Carla Gugino,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",the space between us,Asa Butterfield Britt Robertson Carla Gugino Peter Chelsom Romance Adventure Science Fiction Drama,Romance Adventure Science Fiction Drama
Raoul Peck,Samuel L. Jackson,James Baldwin,Malcolm X,"[{'id': 99, 'name': 'Documentary'}]",i am not your negro,Samuel L. Jackson James Baldwin Malcolm X Raoul Peck Documentary,Documentary
Lasse Hallström,Dennis Quaid,Britt Robertson,Josh Gad,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",a dog's purpose,Dennis Quaid Britt Robertson Josh Gad Lasse Hallström Comedy Drama Family Fantasy,Comedy Drama Family Fantasy
Julian Rosefeldt,Cate Blanchett,Erika Bauer,Ruby Bustamante,"[{'id': 18, 'name': 'Drama'}]",manifesto,Cate Blanchett Erika Bauer Ruby Bustamante Julian Rosefeldt Drama,Drama
Jeff Baena,Alison Brie,Dave Franco,Aubrey Plaza,"[{'id': 35, 'name': 'Comedy'}]",the little hours,Alison Brie Dave Franco Aubrey Plaza Jeff Baena Comedy,Comedy
Richie Keen,Charlie Day,Ice Cube,Tracy Morgan,"[{'id': 35, 'name': 'Comedy'}]",fist fight,Charlie Day Ice Cube Tracy Morgan Richie Keen Comedy,Comedy
Baran bo Odar,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",sleepless,Jamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar Action Crime Thriller,Action Crime Thriller
Gore Verbinski,Dane DeHaan,Jason Isaacs,Mia Goth,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",a cure for wellness,Dane DeHaan Jason Isaacs Mia Goth Gore Verbinski Mystery Thriller Horror Science Fiction,Mystery Thriller Horror Science Fiction
Charlotte Sieling,Jakob Oftebro,Ane Dahl Torp,Søren Malling,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",the man,Jakob Oftebro Ane Dahl Torp Søren Malling Charlotte Sieling Drama Comedy,Drama Comedy
D.J. Caruso,Vin Diesel,Ice Cube,Samuel L. Jackson,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",xxx: return of xander cage,Vin Diesel Ice Cube Samuel L. Jackson D.J. Caruso Action Adventure Crime,Action Adventure Crime
Stacy Title,Douglas Smith,Lucien Laviscount,Cressida Bonas,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",the bye bye man,Douglas Smith Lucien Laviscount Cressida Bonas Stacy Title Horror Thriller,Horror Thriller
Alice Lowe,Alice Lowe,Jo Hartley,Kate Dickie,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",prevenge,Alice Lowe Jo Hartley Kate Dickie Alice Lowe Horror Comedy Drama Thriller Fantasy,Horror Comedy Drama Thriller Fantasy
Chris McKay,Will Arnett,Zach Galifianakis,Michael Cera,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",the lego batman movie,Will Arnett Zach Galifianakis Michael Cera Chris McKay Action Animation Comedy Family Fantasy,Action Animation Comedy Family Fantasy
Stephan Streker,Lina El Arabi,Sébastien Houbani,Babak Karimi,"[{'id': 18, 'name': 'Drama'}]",a wedding,Lina El Arabi Sébastien Houbani Babak Karimi Stephan Streker Drama,Drama
Stanley Tong,Jackie Chan,Disha Patani,Sonu Sood,"[{'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",kung fu yoga,Jackie Chan Disha Patani Sonu Sood Stanley Tong Mystery Action Adventure Comedy,Mystery Action Adventure Comedy
Vishal Bhardwaj,Saif Ali Khan,Shahid Kapoor,Kangana Ranaut,"[{'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",rangoon,Saif Ali Khan Shahid Kapoor Kangana Ranaut Vishal Bhardwaj War History Drama Romance,War History Drama Romance
G.J. Echternkamp,Manu Bennett,Malcolm McDowell,Marci Miller,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",death race 2050,Manu Bennett Malcolm McDowell Marci Miller G.J. Echternkamp Action Comedy Science Fiction,Action Comedy Science Fiction
Adam Smith,Michael Fassbender,Brendan Gleeson,Lyndsey Marshal,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",trespass against us,Michael Fassbender Brendan Gleeson Lyndsey Marshal Adam Smith Action Drama Crime Thriller,Action Drama Crime Thriller
Lisa Robinson Annie J. Howell,Betsy Brandt,Chris Beetem,Zev Haworth,"[{'id': 18, 'name': 'Drama'}]",claire in motion,Betsy Brandt Chris Beetem Zev Haworth Lisa Robinson Annie J. Howell Drama,Drama
Emily Hagins,Alex Saxon,Alexis G. Zall,Sasha Pieterse,"[{'id': 10751, 'name': 'Family'}, {'id': 80, 'name': 'Crime'}]",coin heist,Alex Saxon Alexis G. Zall Sasha Pieterse Emily Hagins Family Crime,Family Crime
F. Javier Gutiérrez,Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,"[{'id': 27, 'name': 'Horror'}]",rings,Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki F. Javier Gutiérrez Horror,Horror
Alistair Legrand,Vinessa Shaw,Kevin Rahm,Aaron Stanford,"[{'id': 53, 'name': 'Thriller'}]",clinical,Vinessa Shaw Kevin Rahm Aaron Stanford Alistair Legrand Thriller,Thriller
Bruno Garotti,Michel Joelsas,Alessandra Negrini,Marcello Airoldi,"[{'id': 35, 'name': 'Comedy'}]",eu fico loko,Michel Joelsas Alessandra Negrini Marcello Airoldi Bruno Garotti Comedy,Comedy
Aram Rappaport,Frank Grillo,Minnie Driver,AnnaSophia Robb,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",the crash,Frank Grillo Minnie Driver AnnaSophia Robb Aram Rappaport Crime Thriller,Crime Thriller
Tatsuya Oishi Akiyuki Shinbo,Hiroshi Kamiya,Yui Horie,Maaya Sakamoto,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",kizumonogatari part 3: reiketsu,Hiroshi Kamiya Yui Horie Maaya Sakamoto Tatsuya Oishi Akiyuki Shinbo Animation Fantasy Mystery,Animation Fantasy Mystery
Chad Stahelski,Keanu Reeves,Common,Laurence Fishburne,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",john wick: chapter 2,Keanu Reeves Common Laurence Fishburne Chad Stahelski Thriller Action Crime,Thriller Action Crime
Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",get out,Daniel Kaluuya Allison Williams Bradley Whitford Jordan Peele Mystery Thriller Horror,Mystery Thriller Horror
James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",logan,Hugh Jackman Patrick Stewart Dafne Keen James Mangold Action Drama Science Fiction,Action Drama Science Fiction
Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",kong: skull island,Tom Hiddleston Samuel L. Jackson Brie Larson Jordan Vogt-Roberts Action Adventure Fantasy,Action Adventure Fantasy
Pete Travis,Riz Ahmed,Billie Piper,James Floyd,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",city of tiny lights,Riz Ahmed Billie Piper James Floyd Pete Travis Crime Drama Thriller,Crime Drama Thriller
Danny Boyle,Ewan McGregor,Jonny Lee Miller,Ewen Bremner,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",t2 trainspotting,Ewan McGregor Jonny Lee Miller Ewen Bremner Danny Boyle Crime Drama,Crime Drama
Shane Abbess,Kellan Lutz,Daniel MacPherson,Isabel Lucas,"[{'id': 878, 'name': 'Science Fiction'}]",science fiction volume one: the osiris child,Kellan Lutz Daniel MacPherson Isabel Lucas Shane Abbess Science Fiction,Science Fiction
Ry Russo-Young,Zoey Deutch,Halston Sage,Logan Miller,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",before i fall,Zoey Deutch Halston Sage Logan Miller Ry Russo-Young Mystery Drama Thriller,Mystery Drama Thriller
Michael Showalter,Kumail Nanjiani,Zoe Kazan,Holly Hunter,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",the big sick,Kumail Nanjiani Zoe Kazan Holly Hunter Michael Showalter Comedy Drama Romance,Comedy Drama Romance
Matt Spicer,Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",ingrid goes west,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Matt Spicer Drama Comedy,Drama Comedy
Macon Blair,Melanie Lynskey,Elijah Wood,David Yow,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",i don't feel at home in this world anymore,Melanie Lynskey Elijah Wood David Yow Macon Blair Comedy Crime Drama Thriller,Comedy Crime Drama Thriller
Guy Ritchie,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",king arthur: legend of the sword,Charlie Hunnam Astrid Bergès-Frisbey Jude Law Guy Ritchie Action Drama Fantasy,Action Drama Fantasy
Bill Condon,Emma Watson,Dan Stevens,Luke Evans,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",beauty and the beast,Emma Watson Dan Stevens Luke Evans Bill Condon Family Fantasy Romance,Family Fantasy Romance
Chester Tam,Stella Maeve,Andy Samberg,Josh Peck,"[{'id': 35, 'name': 'Comedy'}]",take the 10,Stella Maeve Andy Samberg Josh Peck Chester Tam Comedy,Comedy
Tom McGrath,Alec Baldwin,Miles Bakshi,Jimmy Kimmel,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",the boss baby,Alec Baldwin Miles Bakshi Jimmy Kimmel Tom McGrath Animation Comedy Family,Animation Comedy Family
Jay Oliva,Matt Ryan,Jason O'Mara,Camilla Luddington,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",justice league dark,Matt Ryan Jason O'Mara Camilla Luddington Jay Oliva Action Animation Fantasy Science Fiction Thriller,Action Animation Fantasy Science Fiction Thriller
Sotiris Tsafoulias,Pigmalion Dadakaridis,Dimitris Katalifos,Manos Vakousis,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",the other me,Pigmalion Dadakaridis Dimitris Katalifos Manos Vakousis Sotiris Tsafoulias Thriller Mystery,Thriller Mystery
Luca Guadagnino,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",call me by your name,Timothée Chalamet Armie Hammer Michael Stuhlbarg Luca Guadagnino Romance Drama,Romance Drama
Adam Randall,Bill Milner,Maisie Williams,Rory Kinnear,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",iboy,Bill Milner Maisie Williams Rory Kinnear Adam Randall Action Crime Science Fiction Thriller,Action Crime Science Fiction Thriller
Salvatore Ficarra Valentino Picone,Salvatore Ficarra,Valentino Picone,Vincenzo Amato,"[{'id': 35, 'name': 'Comedy'}]",l'ora legale,Salvatore Ficarra Valentino Picone Vincenzo Amato Salvatore Ficarra Valentino Picone Comedy,Comedy
Onur Tukel,Sandra Oh,Anne Heche,Alicia Silverstone,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",catfight,Sandra Oh Anne Heche Alicia Silverstone Onur Tukel Comedy Drama,Comedy Drama
David Lowery,Casey Affleck,Rooney Mara,Will Oldham,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",a ghost story,Casey Affleck Rooney Mara Will Oldham David Lowery Drama Fantasy Romance,Drama Fantasy Romance
Rupert Sanders,Scarlett Johansson,Michael Pitt,Pilou Asbæk,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",ghost in the shell,Scarlett Johansson Michael Pitt Pilou Asbæk Rupert Sanders Action Science Fiction Thriller,Action Science Fiction Thriller
Matt Murphy,Dean O'Gorman,James Rolleston,Ashleigh Cummings,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",pork pie,Dean O'Gorman James Rolleston Ashleigh Cummings Matt Murphy Action Comedy Crime,Action Comedy Crime
Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent,Natalie Brown,Melanie Lynskey,Breeda Wool,"[{'id': 27, 'name': 'Horror'}]",xx,Natalie Brown Melanie Lynskey Breeda Wool Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent Horror,Horror
Shaad Ali,Aditya Roy Kapoor,Shraddha Kapoor,Leela Samson,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",ok jaanu,Aditya Roy Kapoor Shraddha Kapoor Leela Samson Shaad Ali Drama Romance,Drama Romance
James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fifty shades darker,Dakota Johnson Jamie Dornan Eric Johnson James Foley Drama Romance,Drama Romance
Craig Johnson,Woody Harrelson,Sandy Oian-Thomas,Shaun Brown,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",wilson,Woody Harrelson Sandy Oian-Thomas Shaun Brown Craig Johnson Drama Comedy,Drama Comedy
Fyodor Bondarchuk,Rinal Mukhametov,Sergey Garmash,Oleg Menshikov,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",attraction,Rinal Mukhametov Sergey Garmash Oleg Menshikov Fyodor Bondarchuk Drama Romance Science Fiction,Drama Romance Science Fiction
Pascal Bourdiaux,Jean Reno,Reem Kherici,Camille Chamoux,"[{'id': 35, 'name': 'Comedy'}]",family heist,Jean Reno Reem Kherici Camille Chamoux Pascal Bourdiaux Comedy,Comedy
Caradog W. James,Katee Sackhoff,Lucy Boynton,Javier Botet,"[{'id': 27, 'name': 'Horror'}]",don't knock twice,Katee Sackhoff Lucy Boynton Javier Botet Caradog W. James Horror,Horror
Ido Fluk,Dan Stevens,Malin Åkerman,Kerry Bishé,"[{'id': 18, 'name': 'Drama'}]",the ticket,Dan Stevens Malin Åkerman Kerry Bishé Ido Fluk Drama,Drama
Ed Gass-Donnelly,Abbie Cornish,Dermot Mulroney,Diego Klattenhoff,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",lavender,Abbie Cornish Dermot Mulroney Diego Klattenhoff Ed Gass-Donnelly Drama Thriller,Drama Thriller
Christopher Smith,Tye Sheridan,Bel Powley,Emory Cohen,"[{'id': 53, 'name': 'Thriller'}]",detour,Tye Sheridan Bel Powley Emory Cohen Christopher Smith Thriller,Thriller
Bill Purple,Jason Sudeikis,Maisie Williams,Jessica Biel,"[{'id': 18, 'name': 'Drama'}]",the book of love,Jason Sudeikis Maisie Williams Jessica Biel Bill Purple Drama,Drama
Aki Kaurismäki,Sakari Kuosmanen,Sherwan Haji,Simon Al-Bazoon,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",the other side of hope,Sakari Kuosmanen Sherwan Haji Simon Al-Bazoon Aki Kaurismäki Comedy Drama,Comedy Drama
Alex Grossman,Troy Doherty,Flavia Watson,Raychel Diane Weiner,"[{'id': 35, 'name': 'Comedy'}]",hickey,Troy Doherty Flavia Watson Raychel Diane Weiner Alex Grossman Comedy,Comedy
Arnaud des Pallières,Adèle Exarchopoulos,Adèle Haenel,Solène Rigot,"[{'id': 18, 'name': 'Drama'}]",orphan,Adèle Exarchopoulos Adèle Haenel Solène Rigot Arnaud des Pallières Drama,Drama
Martín Hodara,Ricardo Darín,Leonardo Sbaraglia,Laia Costa,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",black snow,Ricardo Darín Leonardo Sbaraglia Laia Costa Martín Hodara Mystery Drama Crime Thriller,Mystery Drama Crime Thriller
